mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward
perfect_v2v,random,0,700,0,0,0,30.844958109892065,-704.6987529312621
perfect_v2v,random,1,449,0,1,0,25.36761383474696,-395.76002732815226
perfect_v2v,random,2,700,0,0,0,39.559151978116006,-727.4143247878815
perfect_v2v,random,3,700,0,0,0,42.963717993596,-714.9504116692468
perfect_v2v,random,4,700,0,0,0,17.80696323762473,-722.695555400669
perfect_v2v,random,5,700,0,0,0,22.964733289653594,-732.2693592982981
perfect_v2v,random,6,564,0,1,0,17.5930641185368,-576.361913000162
perfect_v2v,random,7,700,0,0,0,25.84666869132458,-712.1920460902589
perfect_v2v,random,8,700,0,0,0,45.25515493055344,-712.4060339454599
perfect_v2v,random,9,289,0,1,0,10.453617933157162,-292.16002842030326
perfect_v2v,random,10,700,0,0,0,15.06498188116478,-728.1196537544424
perfect_v2v,random,11,700,0,0,0,39.27617933240376,-721.8846403294922
perfect_v2v,random,12,700,0,0,0,30.320915435835424,-736.2608825560627
perfect_v2v,random,13,700,0,0,0,21.961658331495713,-684.6600891925341
perfect_v2v,random,14,700,0,0,0,18.306832756650575,-745.1724333906402
perfect_v2v,random,15,700,0,0,0,45.04599737469869,-695.3293465466998
perfect_v2v,random,16,216,0,1,0,15.050830390370727,-189.70030818510682
perfect_v2v,random,17,640,0,1,0,17.787070086543643,-590.7808381160305
perfect_v2v,random,18,700,0,0,0,25.47539190000739,-751.6743199261558
perfect_v2v,random,19,700,0,0,0,42.06158396476598,-694.8782969675591
perfect_v2v,random,20,700,0,0,0,41.58003071716364,-700.9543854151723
perfect_v2v,random,21,700,0,0,0,42.156388597383675,-711.4643683889545
perfect_v2v,random,22,700,0,0,0,44.22389907271387,-711.8962737023645
perfect_v2v,random,23,700,0,0,0,34.41841468598532,-716.2483849293362
perfect_v2v,random,24,700,0,0,0,21.139148545634416,-766.6294250242203
perfect_v2v,random,25,700,0,0,0,50.278500234357,-722.5518275265192
perfect_v2v,random,26,700,0,0,0,23.01266664595944,-743.15517224871
perfect_v2v,random,27,700,0,0,0,17.48298839882315,-771.2154733871541
perfect_v2v,random,28,700,0,0,0,22.185118626029773,-747.6867555346979
perfect_v2v,random,29,700,0,0,0,50.08077151945878,-701.9515094786386
perfect_v2v,random,30,700,0,0,0,24.675990520671046,-707.8103640286696
perfect_v2v,random,31,700,0,0,0,12.283860758447366,-697.69161726743
perfect_v2v,random,32,700,0,0,0,19.140825078036382,-789.4806084219614
perfect_v2v,random,33,700,0,0,0,17.540705971794882,-756.1347410361617
perfect_v2v,random,34,700,0,0,0,43.35794764273931,-702.9660807964874
perfect_v2v,random,35,700,0,0,0,45.193672100696745,-715.2757807373956
perfect_v2v,random,36,700,0,0,0,22.880730655835244,-752.5200238509689
perfect_v2v,random,37,112,0,1,0,8.299224844461476,-139.02346788836743
perfect_v2v,random,38,700,0,0,0,20.172410548992666,-777.1874597716802
perfect_v2v,random,39,700,0,0,0,39.81125176079566,-715.4713074781214
perfect_v2v,random,40,495,0,1,1,7.83982100324441,-500.5802119704224
perfect_v2v,random,41,700,0,0,0,32.29345285293349,-697.7952047811686
perfect_v2v,random,42,700,0,0,0,12.625156685028049,-719.7271873393023
perfect_v2v,random,43,700,0,0,0,35.370789221933485,-704.4332596804338
perfect_v2v,random,44,700,0,0,0,39.02023305900415,-714.4733821813657
perfect_v2v,random,45,700,0,0,0,52.20883803733563,-686.9120748052509
perfect_v2v,random,46,89,0,1,1,7.235602330916192,54.439658164315986
perfect_v2v,random,47,442,0,1,0,20.007688383150533,-436.1217501081013
perfect_v2v,random,48,700,0,0,0,32.74569524428233,-717.6847017971895
perfect_v2v,random,49,700,0,0,0,21.636227615677218,-724.3076994565024
perfect_v2v,random,50,700,0,0,0,40.80735575458985,-700.9102558327003
perfect_v2v,random,51,264,0,1,0,8.049618521696102,-242.46012309675854
perfect_v2v,random,52,700,0,0,0,26.569480933624675,-740.7856655664799
perfect_v2v,random,53,700,0,0,0,50.90362128941582,-723.442485127686
perfect_v2v,random,54,700,0,0,0,45.13445526390605,-717.4750524045618
perfect_v2v,random,55,134,0,1,0,21.015900672981722,-73.96003347072153
perfect_v2v,random,56,700,0,0,0,8.669256801181268,-680.1377556976088
perfect_v2v,random,57,700,0,0,0,44.28342714832244,-693.4878986598923
perfect_v2v,random,58,700,0,0,0,44.991175386346995,-703.0008613566702
perfect_v2v,random,59,700,0,0,0,37.02193248826996,-697.3134646364568
perfect_v2v,random,60,700,0,0,0,50.49972789428404,-701.0569558423526
perfect_v2v,random,61,450,0,1,0,25.366345533203443,-401.1802223465128
perfect_v2v,random,62,700,0,0,0,50.70149514551901,-700.9491231599526
perfect_v2v,random,63,700,0,0,0,27.059759029266687,-684.0871037432601
perfect_v2v,random,64,700,0,0,0,42.872608705141594,-693.4682826894623
perfect_v2v,random,65,700,0,0,0,59.49773746576424,-700.6108006678309
perfect_v2v,random,66,547,0,1,0,19.23180486662617,-505.1207383456418
perfect_v2v,random,67,700,0,0,1,6.481266871367377,-735.0499718688343
perfect_v2v,random,68,700,0,0,0,27.832444070619914,-713.8383822773192
perfect_v2v,random,69,700,0,0,0,20.733325194224673,-736.2984078215454
perfect_v2v,random,70,700,0,0,0,39.72052714496063,-702.942603855203
perfect_v2v,random,71,700,0,0,0,24.97962364042665,-720.302533004378
perfect_v2v,random,72,556,0,1,0,14.314538694725718,-516.1000440164789
perfect_v2v,random,73,580,0,1,0,17.8383579924517,-605.0801461155853
perfect_v2v,random,74,137,0,1,1,5.203571347847043,-147.52068657757536
perfect_v2v,random,75,700,0,0,0,27.013406227499154,-738.8750195958612
perfect_v2v,random,76,700,0,0,0,22.63981048436926,-728.6076326129222
perfect_v2v,random,77,197,0,1,0,13.043162765052806,-181.32064265802646
perfect_v2v,random,78,113,0,1,0,17.21872650945559,-87.14443946932161
perfect_v2v,random,79,700,0,0,0,22.02111938428072,-683.7316972400748
perfect_v2v,random,80,700,0,0,0,13.187353267034718,-760.102480239721
perfect_v2v,random,81,700,0,0,0,46.438577207806006,-714.9500543858276
perfect_v2v,random,82,575,0,1,0,16.46826681707152,-571.28202048725
perfect_v2v,random,83,700,0,0,0,24.396736840550417,-719.6426092204106
perfect_v2v,random,84,700,0,0,0,29.945705371570998,-712.2502421353636
perfect_v2v,random,85,700,0,0,0,55.70124246761576,-707.0574756556919
perfect_v2v,random,86,700,0,0,0,49.711828543034144,-693.5123482203501
perfect_v2v,random,87,700,0,0,0,22.212282966825956,-740.3422786805328
perfect_v2v,random,88,700,0,0,0,42.51000460250307,-719.9433007654414
perfect_v2v,random,89,700,0,0,0,36.513022236322875,-682.8549960779869
perfect_v2v,random,90,700,0,0,0,44.24448378575917,-711.8544257381485
perfect_v2v,random,91,700,0,0,0,23.087249025224516,-756.1772040926211
perfect_v2v,random,92,700,0,0,0,31.809759077564145,-679.8026781004096
perfect_v2v,random,93,422,0,1,0,14.646899655198954,-403.72030172661863
perfect_v2v,random,94,700,0,0,0,48.21858734230628,-712.9265240231773
perfect_v2v,random,95,700,0,0,0,56.31917786568956,-709.0047735670522
perfect_v2v,random,96,700,0,0,0,19.981644080590005,-739.6489590954528
perfect_v2v,random,97,60,1,0,1,4.366603219161701,-205.58101718099977
perfect_v2v,random,98,700,0,0,0,35.004616052747174,-709.7853974813246
perfect_v2v,random,99,700,0,0,0,46.371649164668355,-691.3415242209724
perfect_v2v,random,100,251,0,1,0,12.760676840998384,-253.00091252904167
perfect_v2v,random,101,700,0,0,0,49.634894889720144,-681.3400334071367
perfect_v2v,random,102,700,0,0,0,38.94806718465893,-703.3000352302993
perfect_v2v,random,103,700,0,0,0,31.733229835455884,-714.2557696386322
perfect_v2v,random,104,374,0,1,0,16.038646236494632,-390.0600854826615
perfect_v2v,random,105,700,0,0,0,47.27641385950764,-694.9117175700691
perfect_v2v,random,106,700,0,0,0,23.01431612530146,-708.1622250633112
perfect_v2v,random,107,116,0,1,1,6.774585273384278,-127.10117878166062
perfect_v2v,random,108,700,0,0,0,40.219952194479994,-704.44277246621
perfect_v2v,random,109,700,0,0,0,34.832407704122744,-727.2740231004321
perfect_v2v,random,110,700,0,0,0,20.4903200510437,-705.1513780702837
perfect_v2v,random,111,700,0,0,0,39.66047541633603,-711.2835115726043
perfect_v2v,random,112,700,0,0,0,36.057566162250296,-716.2557844991936
perfect_v2v,random,113,700,0,0,0,46.86165709778829,-705.0049616530522
perfect_v2v,random,114,700,0,0,1,5.699895249228846,-727.77928802472
perfect_v2v,random,115,111,0,1,1,5.62541316054903,-86.00557701548558
perfect_v2v,random,116,700,0,0,0,42.031900505679786,-705.9399702551977
perfect_v2v,random,117,70,1,0,1,4.371646811356066,-152.2778374033757
perfect_v2v,random,118,700,0,0,0,38.665287536136084,-698.3313136588152
perfect_v2v,random,119,618,0,1,0,12.791036369060967,-616.3402438095253
perfect_v2v,random,120,700,0,0,0,17.345734880623166,-753.1483145389686
perfect_v2v,random,121,700,0,0,0,16.445732312921518,-701.2849192376459
perfect_v2v,random,122,66,1,0,1,4.422106609784901,-184.09856666398505
perfect_v2v,random,123,700,0,0,0,26.067214157075945,-704.5977699498644
perfect_v2v,random,124,700,0,0,0,14.107475058713817,-747.2732623928393
perfect_v2v,random,125,120,0,1,0,9.110222574523192,-108.88221379664478
perfect_v2v,random,126,700,0,0,0,40.30370583124656,-691.8589619997895
perfect_v2v,random,127,700,0,0,0,32.58014429750348,-743.3258483446912
perfect_v2v,random,128,240,0,1,0,8.000360589014289,-262.6801033093144
perfect_v2v,random,129,71,1,0,1,4.4583230782116985,-263.30079313269823
perfect_v2v,random,130,689,0,1,0,9.15369599236956,-731.7605423169161
perfect_v2v,random,131,700,0,0,0,19.77589048771416,-758.0789353709781
perfect_v2v,random,132,700,0,0,0,56.160500807719124,-699.0875070304699
perfect_v2v,random,133,700,0,0,0,28.396137293751995,-702.2578774028764
perfect_v2v,random,134,700,0,0,0,20.53727441705751,-716.657160349791
perfect_v2v,random,135,700,0,0,0,12.743970561861643,-719.7124169425194
perfect_v2v,random,136,700,0,0,0,42.89880188488424,-700.445332059646
perfect_v2v,random,137,700,0,0,0,20.087426532183905,-675.0806137352823
perfect_v2v,random,138,122,0,1,0,19.14751908490404,-41.32576786460318
perfect_v2v,random,139,700,0,0,0,38.77100619868531,-699.9277642795215
perfect_v2v,random,140,150,0,1,0,11.783961818955953,-90.58087876019079
perfect_v2v,random,141,700,0,0,0,44.436106639273085,-702.4536426241085
perfect_v2v,random,142,700,0,0,0,29.382928239267976,-728.2639110867703
perfect_v2v,random,143,133,0,1,0,22.78033253350877,-73.14461356451966
perfect_v2v,random,144,700,0,0,0,34.42826800043916,-671.9049182658541
perfect_v2v,random,145,700,0,0,0,36.68267860020494,-685.9166466486362
