mode,policy,episodes,collision_rate,arrival_rate,near_miss_rate,mean_min_distance,mean_reward
perfect_v2v,random,200,0.075,0.145,0.1,28.549365287845635,-450.2816054889916
perfect_v2v,hold,200,0.295,0.705,0.485,9.589604403210863,-90.21284285822561
perfect_v2v,full,200,0.365,0.635,0.62,8.009683555847323,-58.09655801840095
perfect_v2v,rule,200,0.0,1.0,0.0,27.480394299816442,43.48205593818579
lossy_v2v,random,200,0.04,0.165,0.105,28.34189260930571,-459.11742327901936
lossy_v2v,hold,200,0.295,0.705,0.485,9.589604403210863,-87.75784285822562
lossy_v2v,full,200,0.365,0.635,0.62,8.009683555847323,-52.85955801840091
lossy_v2v,rule,200,0.0,1.0,0.0,27.045592706214457,44.50451814980894
sensor_only,random,200,0.06,0.195,0.095,28.40004059713596,-410.5104378940647
sensor_only,hold,200,0.295,0.705,0.485,9.589604403210863,-18.360342858225653
sensor_only,full,200,0.365,0.635,0.62,8.009683555847323,-16.095058018400987
sensor_only,rule,200,0.0,1.0,0.085,16.30804209858883,78.09423316889793
