mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward,v2v_rx_count,aoi
perfect_v2v,random,0,700,0,0,0,36.41148907032919,-496.3793271157745,0,0.0
perfect_v2v,random,1,483,0,1,0,35.75061774936833,-246.61996287671917,0,0.0
perfect_v2v,random,2,700,0,0,0,51.745093239503255,-489.84500584013847,0,0.0
perfect_v2v,random,3,700,0,0,0,42.669471925881275,-520.5156836716376,0,0.0
perfect_v2v,random,4,526,0,1,0,10.52484520108987,-412.5299459168836,0,0.0
perfect_v2v,random,5,700,0,0,0,55.7012755526773,-502.83356606331057,0,0.0
perfect_v2v,random,6,641,0,1,0,13.117367258280975,-480.67859348939555,0,0.0
perfect_v2v,random,7,700,0,0,0,49.62248296222939,-485.3814366003737,0,0.0
perfect_v2v,random,8,700,0,0,0,48.27558170253483,-484.163546100964,0,0.0
perfect_v2v,random,9,700,0,0,0,15.640778667116946,-549.0845824482502,0,0.0
perfect_v2v,random,10,700,0,0,0,37.468972386626405,-495.1041969064681,0,0.0
perfect_v2v,random,11,700,0,0,0,51.182334138156186,-469.9081838103263,0,0.0
perfect_v2v,random,12,700,0,0,0,59.77421146204978,-498.0191084305121,0,0.0
perfect_v2v,random,13,700,0,0,0,16.792003777198257,-574.4624537481109,0,0.0
perfect_v2v,random,14,700,0,0,0,35.20409150436775,-443.4871604984424,0,0.0
perfect_v2v,random,15,700,0,0,0,41.248496706435176,-480.94940955013027,0,0.0
perfect_v2v,random,16,700,0,0,0,59.19898213145981,-498.60580952395077,0,0.0
perfect_v2v,random,17,75,1,0,1,4.119750892507434,-227.01557886719638,0,0.0
perfect_v2v,random,18,700,0,0,0,27.478389766506496,-584.5745065107793,0,0.0
perfect_v2v,random,19,700,0,0,0,52.08242923739303,-498.3635127204899,0,0.0
perfect_v2v,random,20,700,0,0,0,50.92645346532111,-496.4338413285597,0,0.0
perfect_v2v,random,21,700,0,0,0,65.2328186203784,-471.7826959304837,0,0.0
perfect_v2v,random,22,700,0,0,0,34.7358445355523,-541.6285870562311,0,0.0
perfect_v2v,random,23,700,0,0,0,35.48862522929293,-496.1988240608331,0,0.0
perfect_v2v,random,24,700,0,0,0,42.69970811227204,-469.9166399710356,0,0.0
perfect_v2v,random,25,700,0,0,0,38.52004548382514,-525.9155027021652,0,0.0
perfect_v2v,random,26,700,0,0,0,23.292650689023866,-549.7519284531753,0,0.0
perfect_v2v,random,27,674,0,1,0,17.385826526933943,-506.1392192170098,0,0.0
perfect_v2v,random,28,700,0,0,0,42.70058056368475,-505.510717873525,0,0.0
perfect_v2v,random,29,700,0,0,0,50.37349534253271,-496.3760389666985,0,0.0
perfect_v2v,random,30,700,0,0,0,56.034871339940274,-500.60152189958455,0,0.0
perfect_v2v,random,31,77,1,0,1,3.5027606458407674,-109.82432584675652,0,0.0
perfect_v2v,random,32,700,0,0,0,65.94088422692192,-470.4446700907927,0,0.0
perfect_v2v,random,33,700,0,0,0,43.96467653897372,-487.8924744858109,0,0.0
perfect_v2v,random,34,700,0,0,0,64.1564724066126,-480.14323693989724,0,0.0
perfect_v2v,random,35,700,0,0,0,47.36634449937684,-533.2051563176036,0,0.0
perfect_v2v,random,36,700,0,0,0,38.81572836821637,-541.6328286403728,0,0.0
perfect_v2v,random,37,137,0,1,0,25.910816944298976,-57.24897780192535,0,0.0
perfect_v2v,random,38,700,0,0,0,26.602651568542132,-481.87980609092506,0,0.0
perfect_v2v,random,39,700,0,0,0,28.33686564377056,-541.8106613035313,0,0.0
perfect_v2v,random,40,700,0,0,0,18.925066444047594,-500.38370662342743,0,0.0
perfect_v2v,random,41,700,0,0,0,29.54225322946519,-509.60806554937716,0,0.0
perfect_v2v,random,42,700,0,0,0,34.35731829879742,-494.3052819301794,0,0.0
perfect_v2v,random,43,700,0,0,0,26.315850532472286,-455.81515270780693,0,0.0
perfect_v2v,random,44,700,0,0,0,60.50363029561174,-478.6572988953204,0,0.0
perfect_v2v,random,45,700,0,0,0,33.855046438392144,-506.7648053839302,0,0.0
perfect_v2v,random,46,575,0,1,0,11.315226688436187,-417.75863486797135,0,0.0
perfect_v2v,random,47,700,0,0,0,38.16550736219491,-488.01305059791434,0,0.0
perfect_v2v,random,48,700,0,0,0,38.37194994502213,-524.9198199295025,0,0.0
perfect_v2v,random,49,700,0,0,0,59.97775968441638,-477.8138963867241,0,0.0
perfect_v2v,hold,0,106,0,1,0,8.460028130688212,-70.93794261918019,0,0.0
perfect_v2v,hold,1,110,0,1,0,23.120514227899832,-47.028429851913344,0,0.0
perfect_v2v,hold,2,120,0,1,1,4.619600574550705,-99.22513429783405,0,0.0
perfect_v2v,hold,3,128,0,1,1,7.022935154535142,-103.3875765354179,0,0.0
perfect_v2v,hold,4,96,0,1,1,5.61262345196248,19.740067168282046,0,0.0
perfect_v2v,hold,5,100,0,1,0,10.099984013430385,-62.838925221272774,0,0.0
perfect_v2v,hold,6,109,0,1,1,6.876865106311254,-79.01003120039354,0,0.0
perfect_v2v,hold,7,106,0,1,0,11.448489345409445,-66.94990376966291,0,0.0
perfect_v2v,hold,8,117,0,1,0,24.846731786808522,-51.17188367277184,0,0.0
perfect_v2v,hold,9,67,1,0,1,4.01533646330255,-131.18461010436457,0,0.0
perfect_v2v,hold,10,96,0,1,0,10.848117677342753,19.751873559181625,0,0.0
perfect_v2v,hold,11,126,0,1,0,15.269251076827562,-81.3457157566761,0,0.0
perfect_v2v,hold,12,121,0,1,0,27.22784572612365,-47.231050224258524,0,0.0
perfect_v2v,hold,13,99,0,1,1,5.752559743484518,-70.79439843013523,0,0.0
perfect_v2v,hold,14,67,1,0,1,3.503956482287013,-131.70948896915183,0,0.0
perfect_v2v,hold,15,104,0,1,0,14.659620256598872,-56.903015357756374,0,0.0
perfect_v2v,hold,16,108,0,1,0,12.477088479822925,-64.98966302310288,0,0.0
perfect_v2v,hold,17,99,0,1,1,5.839834310318315,18.687046365064376,0,0.0
perfect_v2v,hold,18,114,0,1,0,18.870123902736562,-59.11483310155268,0,0.0
perfect_v2v,hold,19,114,0,1,0,22.584633615824224,-51.091973082392585,0,0.0
perfect_v2v,hold,20,119,0,1,0,18.01334590703125,-65.21072994953276,0,0.0
perfect_v2v,hold,21,65,1,0,1,3.770584970452762,-227.26408135343064,0,0.0
perfect_v2v,hold,22,116,0,1,0,10.818916334058427,-77.13555300536282,0,0.0
perfect_v2v,hold,23,104,0,1,0,14.238233007178016,-56.901838969845926,0,0.0
perfect_v2v,hold,24,117,0,1,0,9.258499417439346,-85.16821262348512,0,0.0
perfect_v2v,hold,25,125,0,1,1,7.776334784891505,-95.31267744396115,0,0.0
perfect_v2v,hold,26,111,0,1,0,9.694376531950045,-75.04087154300902,0,0.0
perfect_v2v,hold,27,104,0,1,1,7.185446598418798,-72.89807842914755,0,0.0
perfect_v2v,hold,28,99,0,1,1,7.2886742131184,-66.8065946330282,0,0.0
perfect_v2v,hold,29,130,0,1,0,18.249171093951546,-77.4220218319139,0,0.0
perfect_v2v,hold,30,121,0,1,0,18.57720635614488,-65.24835977685576,0,0.0
perfect_v2v,hold,31,98,0,1,0,11.032685534160153,19.229033590323848,0,0.0
perfect_v2v,hold,32,125,0,1,0,19.256868552312987,-69.3132469347223,0,0.0
perfect_v2v,hold,33,113,0,1,1,6.004211862397224,-87.07499586681735,0,0.0
perfect_v2v,hold,34,132,0,1,0,30.096559379852298,50.52906591901685,0,0.0
perfect_v2v,hold,35,117,0,1,1,5.187060998456705,-95.1596593712269,0,0.0
perfect_v2v,hold,36,124,0,1,1,7.6926019240535615,-97.29470844588229,0,0.0
perfect_v2v,hold,37,104,0,1,0,15.348865238097853,-54.891733482340186,0,0.0
perfect_v2v,hold,38,72,1,0,1,3.51778118295548,-241.3849052718385,0,0.0
perfect_v2v,hold,39,111,0,1,0,15.354477805786365,-61.03019217324788,0,0.0
perfect_v2v,hold,40,66,1,0,1,3.5741907652845772,-229.28454333895462,0,0.0
perfect_v2v,hold,41,96,0,1,0,12.581729144723191,-50.749814194098505,0,0.0
perfect_v2v,hold,42,67,1,0,1,4.369782151795273,-132.24562144763496,0,0.0
perfect_v2v,hold,43,67,1,0,1,4.362551412841281,-231.32270318715263,0,0.0
perfect_v2v,hold,44,127,0,1,0,12.441570232262023,-87.34774475949763,0,0.0
perfect_v2v,hold,45,108,0,1,1,4.671400217072985,-84.98328018918372,0,0.0
perfect_v2v,hold,46,66,1,0,1,4.496401481006076,-131.1749029313453,0,0.0
perfect_v2v,hold,47,102,0,1,0,10.822964351282948,-62.87674878599444,0,0.0
perfect_v2v,hold,48,115,0,1,0,13.316628100317235,-73.11970125977092,0,0.0
perfect_v2v,hold,49,116,0,1,0,15.445910736397941,-69.13940897172753,0,0.0
perfect_v2v,full,0,56,1,0,1,4.252967134822846,-37.11972134241372,0,0.0
perfect_v2v,full,1,84,0,1,0,8.975322696799733,-242.6149786116262,0,0.0
perfect_v2v,full,2,85,0,1,0,14.836541287850473,147.37781771786553,0,0.0
perfect_v2v,full,3,85,0,1,0,15.591887802695389,139.3563112480641,0,0.0
perfect_v2v,full,4,83,0,1,0,13.923069795896192,159.39646669306745,0,0.0
perfect_v2v,full,5,54,1,0,1,4.191396958365843,-417.1446718315921,0,0.0
perfect_v2v,full,6,84,0,1,1,6.983347787074492,129.38729739996717,0,0.0
perfect_v2v,full,7,56,1,0,1,3.1539839380642443,-45.12063266816475,0,0.0
perfect_v2v,full,8,85,0,1,1,7.467645132925792,-254.61491172759077,0,0.0
perfect_v2v,full,9,84,0,1,0,12.721829047585661,159.41108635414867,0,0.0
perfect_v2v,full,10,83,0,1,0,18.461181017941897,159.39708808206217,0,0.0
perfect_v2v,full,11,85,0,1,1,6.345899713586741,99.36180556130557,0,0.0
perfect_v2v,full,12,85,0,1,0,8.94206532049428,-242.6234250224262,0,0.0
perfect_v2v,full,13,57,1,0,1,3.971575942231817,-23.086027658987845,0,0.0
perfect_v2v,full,14,84,0,1,0,12.66539389121666,159.40882463916802,0,0.0
perfect_v2v,full,15,54,1,0,1,3.664822742836696,-417.15223730934014,0,0.0
perfect_v2v,full,16,55,1,0,1,3.309130328649926,-63.14381838512082,0,0.0
perfect_v2v,full,17,84,0,1,0,14.82410480940466,159.40963630806516,0,0.0
perfect_v2v,full,18,55,1,0,1,3.177891513602573,-423.15927331077046,0,0.0
perfect_v2v,full,19,84,0,1,1,6.754954386764388,-254.62364363561028,0,0.0
perfect_v2v,full,20,55,1,0,1,4.123034412345471,-423.17205524910486,0,0.0
perfect_v2v,full,21,84,0,1,1,7.323795192527236,145.40577110196853,0,0.0
perfect_v2v,full,22,85,0,1,1,5.139497217130462,105.38924623426962,0,0.0
perfect_v2v,full,23,54,1,0,1,3.681951213760495,-417.1521459394054,0,0.0
perfect_v2v,full,24,85,0,1,0,8.55684199963126,123.38543638915228,0,0.0
perfect_v2v,full,25,85,0,1,0,11.42157908536545,131.36581800990734,0,0.0
perfect_v2v,full,26,58,1,0,1,4.231029097461243,-37.095206503909935,0,0.0
perfect_v2v,full,27,57,1,0,1,3.8887833629592983,-29.096653858574584,0,0.0
perfect_v2v,full,28,56,1,0,1,3.2159758130383853,-31.105174365287425,0,0.0
perfect_v2v,full,29,86,0,1,1,4.662893873672305,83.36992631281558,0,0.0
perfect_v2v,full,30,55,1,0,1,4.41074372704111,-423.17715597768546,0,0.0
perfect_v2v,full,31,83,0,1,0,19.07939169033624,159.3945522469239,0,0.0
perfect_v2v,full,32,56,1,0,1,4.174157667120539,-85.16784169476922,0,0.0
perfect_v2v,full,33,84,0,1,0,10.680482477669297,137.3785896547484,0,0.0
perfect_v2v,full,34,86,0,1,1,7.515920917871209,-250.13625860407484,0,0.0
perfect_v2v,full,35,85,0,1,0,13.322935951743933,147.3862474734181,0,0.0
perfect_v2v,full,36,85,0,1,0,13.612896319112421,139.36830300978477,0,0.0
perfect_v2v,full,37,54,1,0,1,4.426236823978848,-417.1514009162754,0,0.0
perfect_v2v,full,38,84,0,1,0,14.926520996893613,161.38263306030444,0,0.0
perfect_v2v,full,39,54,1,0,1,4.492842249582506,-417.167852086902,0,0.0
perfect_v2v,full,40,84,0,1,0,9.11586290610511,153.40232917888176,0,0.0
perfect_v2v,full,41,83,0,1,1,5.050996991709301,-254.6030007470581,0,0.0
perfect_v2v,full,42,84,0,1,0,13.393322658096455,161.40528984646295,0,0.0
perfect_v2v,full,43,84,0,1,0,8.008213146056047,153.39665658337543,0,0.0
perfect_v2v,full,44,85,0,1,0,8.552546976506411,107.36105617560729,0,0.0
perfect_v2v,full,45,84,0,1,0,9.48101008151368,145.39031848876027,0,0.0
perfect_v2v,full,46,83,0,1,0,11.95970945163433,159.39466900528112,0,0.0
perfect_v2v,full,47,55,1,0,1,2.512811395673945,-423.1304709059599,0,0.0
perfect_v2v,full,48,57,1,0,1,4.29689789507828,-53.12369889348664,0,0.0
perfect_v2v,full,49,56,1,0,1,3.462948522099131,-69.14472259729564,0,0.0
perfect_v2v,rule,0,135,0,1,0,30.25649962763951,22.67650751457023,0,0.0
perfect_v2v,rule,1,126,0,1,0,37.16590033493641,43.8586659496403,0,0.0
perfect_v2v,rule,2,148,0,1,0,28.839471100499495,4.21558704385248,0,0.0
perfect_v2v,rule,3,149,0,1,0,28.238920586554514,-1.5090296633223588,0,0.0
perfect_v2v,rule,4,83,0,1,0,13.923069795896192,159.2964666930675,0,0.0
perfect_v2v,rule,5,132,0,1,0,34.45700941663152,27.426451676902175,0,0.0
perfect_v2v,rule,6,138,0,1,0,29.981939995048293,16.20715375505582,0,0.0
perfect_v2v,rule,7,134,0,1,0,34.26689711910861,21.711241891760743,0,0.0
perfect_v2v,rule,8,127,0,1,0,36.62902447482194,24.44174566578211,0,0.0
perfect_v2v,rule,9,84,0,1,0,12.721829047585661,159.31108635414867,0,0.0
perfect_v2v,rule,10,83,0,1,0,18.461181017941897,159.2970880820622,0,0.0
perfect_v2v,rule,11,139,0,1,0,31.459125591782062,7.490649804628461,0,0.0
perfect_v2v,rule,12,127,0,1,0,36.95101008109332,38.146117264527916,0,0.0
perfect_v2v,rule,13,135,0,1,0,33.69716183048809,25.680635615938122,0,0.0
perfect_v2v,rule,14,84,0,1,0,12.66539389121666,159.308824639168,0,0.0
perfect_v2v,rule,15,129,0,1,0,34.73276538568693,27.19812305055557,0,0.0
perfect_v2v,rule,16,133,0,1,0,31.802933548008326,20.723517018227955,0,0.0
perfect_v2v,rule,17,84,0,1,0,14.82410480940466,159.30963630806514,0,0.0
perfect_v2v,rule,18,130,0,1,0,34.121353146631606,19.485220264599025,0,0.0
perfect_v2v,rule,19,127,0,1,0,36.06874493210859,26.43473019131402,0,0.0
perfect_v2v,rule,20,133,0,1,0,32.749742191007826,13.009472259844912,0,0.0
perfect_v2v,rule,21,139,0,1,0,32.48809583922153,21.195944581665433,0,0.0
perfect_v2v,rule,22,138,0,1,0,29.365088086677115,13.222139463176077,0,0.0
perfect_v2v,rule,23,129,0,1,0,33.742418008573964,27.19958496951167,0,0.0
perfect_v2v,rule,24,141,0,1,0,30.44000589785844,12.462601316483457,0,0.0
perfect_v2v,rule,25,146,0,1,0,27.20211041150506,4.944043956658788,0,0.0
