mode,policy,episodes,collision_rate,arrival_rate,near_miss_rate,mean_min_distance,mean_reward
perfect_v2v,random,50,0.04,0.12,0.04,37.94652790003758,-471.13797877077855
perfect_v2v,hold,50,0.16,0.84,0.42,11.352023396239122,-79.39560837573957
perfect_v2v,full,50,0.38,0.62,0.56,8.058736827250486,-44.48287606136115
perfect_v2v,rule,50,0.0,1.0,0.0,29.388259629335465,40.919961623040365
lossy_v2v,random,50,0.02,0.12,0.02,35.02158701455767,-477.49954286691434
lossy_v2v,hold,50,0.16,0.84,0.42,11.352023396239122,-76.12560837573955
lossy_v2v,full,50,0.38,0.62,0.56,8.058736827250486,-37.79487606136112
lossy_v2v,rule,50,0.0,1.0,0.0,28.737563887932097,44.36361671706466
sensor_only,random,50,0.0,0.08,0.0,37.60891135409183,-450.05947440999523
sensor_only,hold,50,0.16,0.84,0.42,11.352023396239122,3.0043916242604256
sensor_only,full,50,0.38,0.62,0.56,8.058736827250486,-13.84087606136113
sensor_only,rule,50,0.04,0.96,0.16,17.123223129517566,71.04744011189017
